stazione,idStazione,idRegione
ABANO TERME,S05700,Veneto
ABBADIA LARIANA,S01416,Lombardia
ABBASANTA,S12873,Sardegna
ABBIATE GUAZZONE,N00018,Lombardia
ABBIATEGRASSO,S01062,Lombardia
ACATE,S12409,Sicilia
ACCIANO,S07423,Abruzzo
ACERRA,S09215,Campania
ACIREALE,S12328,Sicilia
ACQUA ACETOSA,S08715,Lazio
ACQUAFREDDA,S11722,Basilicata
ACQUAMELA,S09798,Campania
ACQUANEGRA CREMONESE,S01913,Lombardia
ACQUAPPESA,S11736,Calabria
ACQUAVIVA,S12209,Sicilia
ACQUAVIVA DELLE FONTI,S11504,Puglia
ACQUEDOLCI-S.FRATELLO,S12026,Sicilia
ACQUI TERME,S00867,Piemonte
ACRI BISIGNANO LUZZI,S11907,Calabria
ADRIA,S05420,Veneto
AFRICO NUOVO,S11872,Calabria
AGLIANO CASTELNUOVO CALCEA,S00804,Piemonte
AGRIGENTO BASSA,S12213,Sicilia
AGRIGENTO CENTRALE,S12216,Sicilia
AGROPOLI CASTELLABATE,S11705,Campania
AIELLI,S08550,
AIRASCA,S00514,Piemonte
AIROLE,S04481,Liguria
AIRUNO,S01515,Lombardia
ALA,S02049,Trentino Alto Adige
ALANNO,S07708,Abruzzo
ALANO FENER VALDOBBIADENE,S02566,Veneto
ALASSIO,S04515,Liguria
ALBA,S00825,Piemonte
ALBA ADRIATICA NERETO CONTR.,S07800,Abruzzo
ALBACINA,S07207,Marche
ALBAIRATE VERMEZZO,S01059,
ALBANO DI LUCANIA,S11453,Basilicata
ALBANO LAZIALE,S08704,Lazio
ALBANO S.ALESSANDRO,S01534,Lombardia
ALBANOVA,S09004,Campania
ALBAREDO,S02538,Veneto
ALBATE CAMERLATA,S01310,Lombardia
ALBATE-TRECALLO,S01450,Lombardia
ALBENGA,S04516,Liguria
ALBERESE,S08001,Toscana
ALBERGO,S06067,
ALBINIA,S08003,Toscana
ALBISOLA,S04529,Liguria
ALBIZZATE SOLBIATE ARNO,S01209,Lombardia
ALBONESE,S00033,Lombardia
ALBUZZANO,S01863,Lombardia
ALCAMO DIRAMAZIONE,S12150,Sicilia
ALCANTARA,S12320,Sicilia
ALESSANDRIA,S00470,Piemonte
ALFEDENA-SCONTRONE,S08908,Abruzzo
ALFONSINE,S05808,Emilia Romagna
ALICE BELCOLLE,S00809,Piemonte
ALIFE,S09020,
ALI` TERME,S12310,Sicilia
ALLERONA-CASTEL VISCARDO,S08202,Umbria
ALPIGNANO,S00216,Piemonte
ALTAMURA,S11307,Puglia
ALTARE,S04810,Liguria
ALTAVILLA IRPINA,S09511,Campania
ALTAVILLA M.,S12011,Sicilia
